Event	ID	Name			Wwise Object Path	Notes
	928448524	FootstepAsphalt			\Default Work Unit\FootstepAsphalt	
	1337894422	Play_Frog2			\Default Work Unit\Play_Frog2	
	1797954987	Play_CatPurr			\Default Work Unit\Play_CatPurr	
	2040906863	Play_Drip			\Default Work Unit\Drip\Play_Drip	
	2659198924	Play_Frog			\Default Work Unit\Play_Frog	
	2751300724	StopAll200ms			\Default Work Unit\StopAll200ms	
	2998759187	Play_JapaneseWhisper			\Default Work Unit\Play_JapaneseWhisper	
	3015324718	Play_Fire			\Default Work Unit\Play_Fire	
	3061328468	Play_Drip10			\Default Work Unit\Drip\Play_Drip10	
	3061328469	Play_Drip11			\Default Work Unit\Drip\Play_Drip11	
	4008983172	Play_Drip9			\Default Work Unit\Drip\Play_Drip9	
	4008983173	Play_Drip8			\Default Work Unit\Drip\Play_Drip8	
	4008983176	Play_Drip5			\Default Work Unit\Drip\Play_Drip5	
	4008983177	Play_Drip4			\Default Work Unit\Drip\Play_Drip4	
	4008983179	Play_Drip6			\Default Work Unit\Drip\Play_Drip6	
	4008983182	Play_Drip3			\Default Work Unit\Drip\Play_Drip3	
	4008983183	Play_Drip2			\Default Work Unit\Drip\Play_Drip2	
	4246707501	Play_ElectricPole			\Default Work Unit\Play_ElectricPole	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12191282	Water, Drip, Intense Water Drops SND55615 2	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Water, Drip, Intense Water Drops SND55615 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Ambience\Drip\Drip2\Water, Drip, Intense Water Drops SND55615 2		235286
	152278457	Animals, Amphibian, Croaking Frog SND76759	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Animals, Amphibian, Croaking Frog SND76759_7C353187.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Frog\Animals, Amphibian, Croaking Frog SND76759		2212708
	164005055	Water, Drip, Drops Falling Into Buckets, Interior 01 SND81116	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Water, Drip, Drops Falling Into Buckets, Interior 01 SND81116_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Ambience\Drip\Drip4\Water, Drip, Drops Falling Into Buckets, Interior 01 SND81116		1216728
	186590126	Fire, Burning, Wood, Crispy, Medium Intensity SND8761 1	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Fire, Burning, Wood, Crispy, Medium Intensity SND8761 1_4A42434F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Fire\Fire, Burning, Wood, Crispy, Medium Intensity SND8761 1		1039300
	289478227	Water, Drip, Single Drip SND55616_01	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Water, Drip, Single Drip SND55616_E501BC75.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Ambience\Drip\Drip10\Water, Drip, Single Drip SND55616_01		874896
	310033959	Water, Drip, Rhythmic Drops, Melting Snow, Turku Finland 01 SND81112 - Pitch 50 1	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Water, Drip, Rhythmic Drops, Melting Snow, Turku Finland 01 SND81112 - Pitch 50 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Ambience\Drip\Drip8\Water, Drip, Rhythmic Drops, Melting Snow, Turku Finland 01 SND81112 - Pitch 50 1		319334
	323162568	Footsteps, Human, Asphalt, Male, Walk SND11513	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Footsteps, Human, Asphalt, Male, Walk SND11513_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\FootstepAsphalt\Footsteps, Human, Asphalt, Male, Walk SND11513		20496
	343245534	Water, Drip, Droplets Of Water, Metal Bucket SND62948 1	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Water, Drip, Droplets Of Water, Metal Bucket SND62948 1_CA48C3A4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Positional\Ambience\Drip\Drip3\Water, Drip, Droplets Of Water, Metal Bucket SND62948 1		896706
	391668120	Footsteps, Human, Asphalt, Male, Walk SND11513 5	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Footsteps, Human, Asphalt, Male, Walk SND11513 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\FootstepAsphalt\Footsteps, Human, Asphalt, Male, Walk SND11513 5		47496
	426909933	Footsteps, Human, Asphalt, Male, Walk SND11513 2	C:\Users\Emil\AudioPuzzle URP_WwiseIntegrationTemp1\AudioPuzzle URP_WwiseProject\.cache\Mac\SFX\Footsteps, Human, Asphalt, Male, Walk SND11513 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\FootstepAsphalt\Footsteps, Human, Asphalt, Male, Walk SND11513 2		29496
